AgeRegistered,Count
-1980.55,1
-1972.87,1
-1798.84,1
-1798.33,1
-1795.15,1
-1789.93,1
-1783.34,1
-1781.86,1
-1773,1
-1766.32,1
-1754.3,1
-1731.03,1
-1727.93,1
-1722.54,1
-195.82,1
-190.57,1
-188.86,1
-185.71,1
-185,1
-184.18,1
-184.12,2
-183.81,1
-182.93,1
-180.39,1
-180.1,1
-179.33,1
-176.81,1
-176.34,1
-172.11,1
-171.94,1
-170.77,1
-170.42,1
-170.3,1
-167.27,1
-165.31,1
-164.46,1
-160.1,1
-157.29,1
-156.23,1
-155.88,1
-154.26,1
-147.31,1
-131.13,1
-91.01,1
-81.41,1
-80.8,1
-77.01,1
-75.75,1
-75.6,1
-75.59,1
-75.56,1
-75.53,1
-75.36,1
-75.24,1
-75.12,1
-75.11,1
-74.94,1
-74.83,1
-74.76,1
-74.68,1
-74.57,1
-74.38,1
-74.33,1
-74.11,1
-73.92,1
-73.52,1
-73.31,1
-73.03,1
-72.64,1
-71.74,1
-71.12,1
-71.11,1
-71.04,1
-70.63,1
-69.6,1
-69.53,1
-68.18,1
-68.14,1
-68.09,1
-68.05,1
-68.03,1
-66.52,1
-66.07,1
-65.83,1
-65.76,1
-65.57,1
-65.45,1
-65.44,1
-65.38,1
-64.88,1
-64.87,2
-64.85,1
-64.55,1
-64.34,1
-64.19,1
-63.64,1
-63.5,1
-63.47,1
-63.1,1
-63,1
-62.7,1
-62.68,1
-62.63,1
-61.89,1
-61.86,1
-61.62,1
-61.33,1
-61.19,1
-60.89,1
-60.82,1
-60.76,1
-60.11,1
-59.91,1
-59.81,1
-59.68,1
-59.67,1
-59.56,1
-59.36,1
-59.02,1
-58.69,1
-58.68,1
-58.64,1
-58.16,1
-58.07,1
-57.98,1
-57.89,1
-57.67,1
-57.66,1
-57.59,1
-57.37,1
-57.32,1
-57.08,1
-56.41,1
-56.37,1
-56.3,1
-55.92,1
-55.74,1
-55.71,1
-55.51,1
-55.14,1
-55.08,1
-54.93,1
-54.81,1
-54.45,1
-54.28,1
-54.11,1
-54.09,1
-53.85,1
-53.82,1
-53.78,1
-53.76,1
-53.6,1
-53.56,2
-53.54,1
-53.43,1
-53.36,1
-52.96,1
-52.51,1
-52.44,1
-51.91,1
-51.78,1
-51.73,1
-51.62,1
-51.61,1
-51.39,1
-51.37,1
-51.31,1
-51.21,1
-51.05,1
-51.02,1
-50.72,1
-50.54,1
-50.33,1
-50.22,1
-49.63,1
-49.57,1
-49.52,1
-49.38,1
-49.3,1
-49.26,1
-49.17,1
-49.07,1
-48.98,1
-48.63,1
-47.85,1
-47.69,1
-47.54,1
-47.53,1
-47.24,1
-47.23,1
-46.76,1
-46.61,1
-46.55,1
-46.44,1
-46.24,1
-46.19,1
-45.02,1
-44.71,1
-44.49,1
-44.03,1
-44.01,1
-43.79,1
-43.73,1
-43.65,1
-43.58,1
-43.22,1
-43.11,1
-42.88,1
-42.8,2
-42.6,1
-42.34,1
-42.07,1
-41.78,1
-41.53,1
-41.52,1
-41.4,1
-41.12,1
-41.05,1
-40.92,1
-40.77,1
-40.33,1
-40.08,1
-39.93,1
-39.79,1
-39.78,1
-39.69,1
-39.63,1
-39.4,1
-39.12,1
-39.08,1
-38.84,1
-38.83,1
-38.18,1
-37.41,1
-37.38,1
-36.97,1
-36.94,1
-36.86,1
-36.56,1
-36.55,1
-36.53,1
-36.42,1
-36.13,1
-36.05,1
-35.49,1
-35.01,1
-34.86,1
-34.42,2
-33.7,1
-33.21,1
-32.45,1
-31.75,1
-30.87,1
-30,1
-28.45,1
-28.4,1
-27.02,1
-26.51,1
-24.44,1
-23.24,1
-20.47,1
-17.69,1
-13.03,1
-12.07,2
-11.65,1
-9.37,1
-7.46,1
-5.54,1
-2.96,1
-2.94,1
-2.42,1
-2.3,1
-2.2,1
-2.09,1
-1.95,1
-1.85,1
-1.38,1
-1.37,1
-0.86,1
-0.61,1
-0.42,1
-0.41,1
-0.39,1
-0.36,1
-0.27,1
-0.2,1
-0.11,1
-0.1,3
-0.08,1
-0.04,1
-0.03,1
-0.02,1
-0.01,3
0,59
0.01,2
0.02,3
0.03,2
0.1,2
0.11,1
0.16,1
0.17,1
0.19,1
0.22,1
0.25,1
0.26,1
0.28,1
0.39,1
0.41,1
0.42,1
0.43,2
0.46,1
0.47,1
0.52,1
0.57,1
0.59,1
0.6,1
0.61,1
0.75,1
0.96,1
1.13,1
1.14,1
1.3,1
1.54,1
1.78,1
1.79,1
1.98,1
2.81,1
3.04,1
3.32,1
3.71,1
3.78,1
4.28,1
4.38,1
4.85,1
4.95,1
5.88,1
6.03,1
6.14,1
6.36,1
6.38,1
6.52,1
6.79,1
6.87,1
7.12,1
7.61,1
7.73,1
7.81,1
8.23,1
8.33,2
8.41,1
9.01,1
9.25,1
9.31,1
9.34,1
9.42,1
9.44,1
9.66,1
10.15,2
10.27,1
10.8,1
10.99,2
11.04,1
11.13,1
11.31,1
11.93,1
11.94,1
12.16,1
12.61,1
12.65,1
12.85,1
12.88,1
12.96,1
13.22,1
13.3,1
13.31,1
13.61,1
13.62,1
13.64,1
13.7,1
13.78,1
13.98,1
13.99,1
14.08,1
14.1,1
14.15,1
14.32,1
14.48,1
14.52,1
14.75,1
14.76,1
14.91,1
14.99,1
15.03,1
15.07,1
15.1,1
15.12,1
15.18,1
15.21,1
15.37,1
15.47,1
15.58,1
15.63,1
15.65,1
15.71,1
15.73,1
15.74,1
15.78,1
15.8,1
15.81,2
15.94,1
15.95,1
15.96,1
15.98,2
15.99,2
16.02,1
16.04,2
16.06,2
16.08,1
16.09,3
16.1,1
16.12,3
16.13,4
16.15,2
16.16,1
16.17,2
16.18,1
16.19,1
16.2,1
16.21,1
16.22,1
16.23,1
16.25,2
16.26,1
16.28,2
16.29,1
16.3,3
16.31,1
16.32,1
16.33,3
16.34,2
16.35,1
16.38,1
16.39,2
16.4,1
16.41,1
16.42,2
16.43,2
16.44,1
16.46,1
16.47,2
16.48,1
16.49,1
16.5,2
16.51,1
16.52,2
16.53,2
16.54,3
16.56,1
16.57,4
16.59,1
16.6,3
16.61,2
16.63,2
16.64,2
16.65,3
16.66,2
16.67,3
16.68,3
16.69,2
16.7,4
16.71,4
16.72,1
16.73,4
16.74,2
16.75,1
16.76,3
16.77,2
16.78,2
16.79,1
16.8,4
16.81,2
16.82,2
16.84,5
16.85,3
16.86,5
16.87,7
16.88,2
16.89,3
16.9,3
16.91,9
16.92,2
16.93,6
16.94,8
16.95,4
16.96,5
16.97,10
16.98,3
16.99,7
17,534
17.01,633
17.02,579
17.03,448
17.04,293
17.05,397
17.06,302
17.07,362
17.08,370
17.09,259
17.1,316
17.11,300
17.12,232
17.13,335
17.14,286
17.15,251
